"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Checkout Process","0","1","TC14 - Verify checkout overview displays correct information","0"
"0","","0","UI Validation and Data Integration","0","1","TC18 - Verify session data in Redis","0"
"0","","0","Product Management","0","1","TC08 - Remove product from cart on products page","0"
"0","","0","Shopping Cart Management","0","1","TC11 - Remove item from cart page","0"
"0","","0","Login Functionality","0","1","TC03 - Login fails with empty credentials","0"
"0","","0","UI Validation and Data Integration","0","1","TC16 - Verify product data from Excel","0"
"0","","0","Product Management","0","1","TC07 - Add a single product to cart","0"
"0","","0","Checkout Process","0","1","TC13 - Checkout fails with empty information","0"
"0","","0","Shopping Cart Management","0","1","TC10 - View cart with added items","0"
"0","","0","Product Management","0","1","TC05 - View all products on the products page","0"
"0","","0","Login Functionality","0","1","TC02 - Login fails with invalid username","0"
"0","","0","UI Validation and Data Integration","0","1","TC15 - Verify page titles and URLs","0"
"0","","0","Login Functionality","0","1","TC01 - Successful login with valid credentials","0"
"0","","0","UI Validation and Data Integration","0","1","TC17 - Validate login credentials from database","0"
"0","","0","Login Functionality","0","1","TC04 - Successful logout","0"
"0","","0","Product Management","0","1","TC06 - Sort products by price low to high","0"
"0","","0","Shopping Cart Management","0","1","TC09 - Add multiple products to cart","0"
"0","","0","Checkout Process","0","1","TC12 - Complete checkout with valid information","0"
